address|name|size|type
0x45cc70|ov_clear|256|library
0x45cd70|ov_open_callbacks|80|library
0x45cdc0|ov_open1|288|library
0x45d030|get_next_page|192|library
0x45d0f0|get_data|112|library
0x45d160|ov_open2|80|library
0x45d910|ov_open|80|library
0x45d960|fseek64_wrap|32|library
0x45d980|ov_pcm_total|112|library
0x45d9f0|ov_pcm_seek|720|library
0x45e010|ov_info|64|library
0x45e050|ov_read|864|library
0x45e3b0|host_is_big_endian|16|library
0x45e3c0|ogg_page_version|16|library
0x45e3d0|ogg_page_continued|16|library
0x45e3e0|ogg_page_bos|16|library
0x45e3f0|ogg_page_eos|16|library
0x45e400|ogg_page_granulepos|224|library
0x45e4e0|ogg_page_serialno|48|library
0x45e510|ogg_page_pageno|48|library
0x45e540|ogg_stream_init|112|library
0x45e5b0|ogg_stream_clear|80|library
0x45e600|ogg_page_checksum_set|176|library
0x45e750|ogg_sync_clear|48|library
0x45e820|ogg_sync_pageseek|336|library
0x45ee60|vorbis_comment_clear|112|library
0x45ef00|vorbis_info_clear|368|library
0x45f710|vorbis_dsp_clear|96|library
0x45faf0|vorbis_block_clear|592|library
0x466fa0|mapping0_unpack|464|library
0x46b6b0|vorbis_lsp_to_curve|384|library
0x46b830|vorbis_coslook|80|library
0x46b880|vorbis_invsqlook|80|library
0x46b8d0|vorbis_invsq2explook|16|library
0x46b8e0|vorbis_fromdBlook|190|library
0x4798d0|oggpack_writeinit|64|library
0x479910|oggpack_writealign|32|library
0x479930|oggpack_writeclear|48|library
0x479960|oggpack_readinit|48|library
0x479990|oggpack_write|256|library
0x479a90|oggpack_look|176|library
0x479b40|oggpack_adv|48|library
0x479b70|oggpack_read|208|library
0x479c40|oggpack_bytes|16|library
0x45cee0|vorbis_0x45cee0|321|library
0x45d1b0|vorbis_0x45d1b0|249|library
0x45d2b0|vorbis_0x45d2b0|274|library
0x45d3d0|vorbis_0x45d3d0|54|library
0x45d410|vorbis_0x45d410|540|library
0x45d630|vorbis_0x45d630|733|library
0x45dcc0|vorbis_0x45dcc0|55|library
0x45dd00|vorbis_0x45dd00|78|library
0x45dd50|vorbis_0x45dd50|698|library
0x45e6b0|vorbis_0x45e6b0|47|library
0x45e6e0|vorbis_0x45e6e0|68|library
0x45e730|vorbis_0x45e730|22|library
0x45e780|vorbis_0x45e780|122|library
0x45e800|vorbis_0x45e800|30|library
0x45e970|vorbis_0x45e970|739|library
0x45ec60|vorbis_0x45ec60|24|library
0x45ec80|vorbis_0x45ec80|76|library
0x45ecd0|vorbis_0x45ecd0|28|library
0x45ecf0|vorbis_0x45ecf0|21|library
0x45ed10|vorbis_0x45ed10|302|library
0x45ee40|vorbis_0x45ee40|18|library
0x45eed0|vorbis_0x45eed0|38|library
0x45f070|vorbis_0x45f070|256|library
0x45f170|vorbis_0x45f170|46|library
0x45f1a0|vorbis_0x45f1a0|215|library
0x45f280|vorbis_0x45f280|216|library
0x45f360|vorbis_0x45f360|631|library
0x45f5e0|vorbis_0x45f5e0|76|library
0x45f630|vorbis_0x45f630|108|library
0x45f6a0|vorbis_0x45f6a0|105|library
0x45f770|vorbis_0x45f770|896|library
0x45fd40|vorbis_0x45fd40|43|library
0x45fd70|vorbis_0x45fd70|1039|library
0x460180|vorbis_0x460180|88|library
0x4601e0|vorbis_0x4601e0|43|library
0x460210|vorbis_0x460210|342|library
0x460370|vorbis_0x460370|122|library
0x4603f0|vorbis_0x4603f0|31|library
0x460410|vorbis_0x460410|31|library
0x460430|vorbis_0x460430|1348|library
0x460980|vorbis_0x460980|1917|library
0x461100|vorbis_0x461100|41|library
0x461130|vorbis_0x461130|41|library
0x461160|vorbis_0x461160|25|library
0x461180|vorbis_0x461180|192|library
0x461240|vorbis_0x461240|96|library
0x4612a0|vorbis_0x4612a0|229|library
0x461390|vorbis_0x461390|1528|library
0x461990|vorbis_0x461990|159|library
0x461a30|vorbis_0x461a30|224|library
0x461b10|vorbis_0x461b10|194|library
0x461be0|vorbis_0x461be0|306|library
0x461d20|vorbis_0x461d20|338|library
0x461e80|vorbis_0x461e80|138|library
0x461f10|vorbis_0x461f10|330|library
0x462060|vorbis_0x462060|201|library
0x462130|vorbis_0x462130|140|library
