address|type|size
0x47a280|float|4
0x47a284|float|4
0x47a288|float|4
0x47a28c|float|4
0x47a294|float|4
0x47a2c8|float|4
0x47a2cc|float|4
0x47a2d0|float|4
0x47a2d4|float|4
0x47a300|float|4
0x47a304|float|4
0x47a348|float|4
0x47a34c|float|4
0x47a350|float|4
0x47a354|float|4
0x47a358|float|4
0x47a35c|float|4
0x47a360|float|4
0x47a364|float|4
0x47a3f0|float|4
0x47a3f4|float|4
0x47a3f8|float|4
0x47a3fc|float|4
0x47a400|float|4
0x47a404|float|4
0x47a59c|float|4
0x47a5a0|float|4
0x47a5a4|float|4
0x47a5d8|float|4
0x47a62c|float|4
0x47a630|float|4
0x47a634|float|4
0x47a638|float|4
0x47a63c|float|4
0x47a6a4|float|4
0x47a788|float|4
0x47a78c|float|4
0x47a790|float|4
0x47a794|float|4
0x47a798|float|4
0x47a79c|float|4
0x47a7a0|float|4
0x47a7a4|float|4
0x47a7a8|float|4
0x47a7ac|float|4
0x47a7b0|float|4
0x47a7b4|float|4
0x47a7b8|float|4
0x47a7bc|float|4
0x47a7c0|float|4
0x47a7c4|float|4
0x47a7c8|float|4
0x47a7cc|float|4
0x47a7d0|float|4
0x47a7d4|float|4
0x47a7d8|float|4
0x47a7dc|float|4
0x47a7f0|float|4
0x47a7f8|float|8
0x47a804|float|4
0x47a808|float|4
0x47a80c|float|4
0x47a820|float|4
0x47a824|float|4
0x47a880|float|4
0x47a884|float|4
0x47a888|float|4
0x47a88c|float|4
0x47a890|float|4
0x47a894|float|4
0x47a898|float|4
0x47a89c|float|4
0x47a8a0|float|4
0x47a8f0|float|4
0x47a8ec|float|4
0x47a920|float|4
0x47a924|float|4
0x47a928|float|4
0x47a96c|float|4
0x47a990|float|4
0x47a9b4|float|4
0x47a9b8|float|4
0x47aadc|float|4
0x47aae0|float|4
0x47aae4|float|4
0x47aae8|float|4
0x47aaec|float|4
0x47aaf0|float|4
0x47aaf4|float|4
0x47aaf8|float|4
0x47a914|float|4
0x47a918|float|4
0x47a91c|float|4
